Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Strixhaven Mystical Archives,binder,Grapeshot,STA,Strixhaven Mystical Archive,102,normal,rare,1,58468,dc58957e-dbf0-40ac-9ec4-05fea0c61880,7.99,false,false,near_mint,en,USD,2023-09-28T17:20:23.281Z
Strixhaven Mystical Archives,binder,Defiant Strike,STA,Strixhaven Mystical Archive,66,foil,uncommon,1,58425,447c7d1e-8bf9-4558-9480-6f0423f36b81,0.49,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Divine Gambit,STA,Strixhaven Mystical Archive,67,normal,uncommon,1,58453,ac62fae3-2525-4b71-80d1-83e608070e4f,0.35,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Revitalize,STA,Strixhaven Mystical Archive,72,foil,uncommon,1,58432,64dbdc3f-aa48-4a59-adab-e0a8e981295a,0.49,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Negate,STA,Strixhaven Mystical Archive,81,normal,uncommon,1,58423,35308c10-f8e9-4c35-a680-a3dfe16ac63a,1.29,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Strategic Planning,STA,Strixhaven Mystical Archive,83,foil,uncommon,1,58424,3c5f48a9-4d6a-4ca6-b99e-d6b1dfac7e04,0.49,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Tezzeret's Gambit,STA,Strixhaven Mystical Archive,84,normal,rare,1,58436,6de53b7d-f2de-47aa-b5d4-9427c12484b0,1.49,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Eliminate,STA,Strixhaven Mystical Archive,93,foil,uncommon,1,58433,65e93381-0192-4b89-af64-dcc7150b757b,0.49,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Claim the Firstborn,STA,Strixhaven Mystical Archive,100,normal,uncommon,1,58419,1fba553e-eca3-453e-8f67-ec7e5c9f3946,0.69,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Infuriate,STA,Strixhaven Mystical Archive,104,foil,uncommon,1,58434,67983e97-a990-4f89-811c-a58a0a10a701,0.79,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Abundant Harvest,STA,Strixhaven Mystical Archive,111,normal,rare,1,58459,bb246be3-d9cb-4753-8d8c-0c770a584090,1.79,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Harmonize,STA,Strixhaven Mystical Archive,115,normal,rare,1,58463,cb853d72-9b29-4ea1-80db-da9e0b547ad5,2.49,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Regrowth,STA,Strixhaven Mystical Archive,119,normal,rare,1,58420,21d0ec3e-10c6-4401-a21f-b767318120b6,1.29,false,false,near_mint,en,USD,2023-09-28T20:12:26.989Z
Strixhaven Mystical Archives,binder,Duress,STA,Strixhaven Mystical Archive,92,normal,uncommon,1,58416,11e96127-83e2-42e2-9799-998b1408d444,1.99,false,false,near_mint,en,USD,2023-10-01T03:59:06.441Z
Strixhaven Mystical Archives,binder,Village Rites,STA,Strixhaven Mystical Archive,98,normal,uncommon,1,58474,f9e6276c-0b80-4d11-b889-8a24b210c4f0,1.99,false,false,near_mint,en,USD,2023-10-01T03:59:16.294Z
Strixhaven Mystical Archives,binder,Gods Willing,STA,Strixhaven Mystical Archive,70,normal,rare,1,58427,54bc478b-fb90-4071-acdd-ae6ff33334fd,0.79,false,false,near_mint,en,USD,2023-10-02T08:12:11.401Z
Strixhaven Mystical Archives,binder,Ephemerate,STA,Strixhaven Mystical Archive,68,etched,rare,1,58473,f704397a-c180-44ae-9e4e-90180556b87b,9.99,false,false,near_mint,en,USD,2023-10-04T11:39:15.034Z
Strixhaven Mystical Archives,binder,Lightning Bolt,STA,Strixhaven Mystical Archive,105,etched,rare,1,58456,b14fae63-2e82-49c1-8e62-d84a65f27479,12.99,false,false,near_mint,en,USD,2023-10-04T11:39:45.282Z
Strixhaven Mystical Archives,binder,Natural Order,STA,Strixhaven Mystical Archive,117,etched,mythic,1,58444,8ac43bf2-08e1-4b63-ac4f-ccc565ca2cee,16.99,false,false,near_mint,en,USD,2023-10-04T11:40:36.019Z
Strixhaven Mystical Archives,binder,Lightning Helix,STA,Strixhaven Mystical Archive,125,etched,rare,1,58426,47eb569f-9f8d-4856-acf9-f8e87baa19d0,5.49,false,false,near_mint,en,USD,2023-10-04T11:41:38.314Z
Strixhaven Mystical Archives,binder,Increasing Vengeance,STA,Strixhaven Mystical Archive,103,etched,mythic,1,58467,d4867546-a609-4958-a48e-522fb9258faf,2.99,false,false,near_mint,en,USD,2023-10-04T11:43:08.027Z
Strixhaven Mystical Archives,binder,Growth Spiral,STA,Strixhaven Mystical Archive,124,etched,rare,1,58476,ffea9e1d-10e1-458b-afba-e33ce9695322,5.49,false,false,near_mint,en,USD,2023-10-04T11:43:35.243Z
Strixhaven Mystical Archives,binder,Doom Blade,STA,Strixhaven Mystical Archive,91,normal,rare,1,58450,a6565f48-185f-4977-8edc-4840b784d29d,1.49,false,false,near_mint,en,USD,2023-10-17T15:14:17.391Z
Strixhaven Mystical Archives,binder,Adventurous Impulse,STA,Strixhaven Mystical Archive,112,foil,uncommon,1,58455,b0c56784-e106-4f17-a1a3-2c0bbb41d316,0.35,false,false,near_mint,en,USD,2023-11-01T07:00:34.377Z
Strixhaven Mystical Archives,binder,Inquisition of Kozilek,STA,Strixhaven Mystical Archive,94,normal,rare,1,58451,a6af6cee-a60a-4953-8e22-c3bddc435619,2.29,false,false,near_mint,en,USD,2023-10-12T19:34:32.450Z
Strixhaven Mystical Archives,binder,Despark,STA,Strixhaven Mystical Archive,122,normal,rare,1,58472,f3e0de9d-de5b-4a95-95af-aef4cc546a94,4.99,false,false,near_mint,en,USD,2026-06-13T00:59:12.248Z
Strixhaven Mystical Archives,binder,Electrolyze,STA,Strixhaven Mystical Archive,123,normal,rare,1,58442,8212125e-1742-41db-a7e9-32df59441f4e,2.99,false,false,near_mint,en,USD,2026-06-13T00:59:12.247Z
Strixhaven Mystical Archives,binder,Cultivate,STA,Strixhaven Mystical Archive,114,normal,uncommon,1,58458,b8386ca9-0359-4a18-abea-0cb0e955a947,2.99,false,false,near_mint,en,USD,2026-06-13T00:59:12.246Z
Strixhaven Mystical Archives,binder,Whirlwind Denial,STA,Strixhaven Mystical Archive,86,normal,uncommon,1,58440,7949ab59-cd09-4500-a323-5ba05392623f,0.69,false,false,near_mint,en,USD,2026-06-13T00:59:12.245Z
Strixhaven Mystical Archives,binder,Opt,STA,Strixhaven Mystical Archive,82,normal,uncommon,1,58464,cd5017e7-2da9-48be-8dc3-458a1374b97c,6.99,false,false,near_mint,en,USD,2026-06-13T00:59:12.244Z
Strixhaven Mystical Archives,binder,Brainstorm,STA,Strixhaven Mystical Archive,76,normal,rare,1,58462,c6118d1d-28c1-4f54-97cb-c4f934b6739c,24.99,false,false,near_mint,en,USD,2026-06-13T00:59:12.243Z
Strixhaven Mystical Archives,binder,Mana Tithe,STA,Strixhaven Mystical Archive,71,normal,rare,1,58443,89aafeb7-31e3-4389-9c4e-4903c342a021,4.49,false,false,near_mint,en,USD,2026-06-13T00:59:12.242Z
Store Championship Promos,binder,"Kwain, Itinerant Meddler",PL23,Year of the Rabbit 2023,3,foil,rare,4,79078,885a4ac8-67ee-437c-9133-687be93ea117,,false,false,near_mint,en,USD,2023-09-27T13:53:45.309Z
Store Championship Promos,binder,Ethereal Armor,PL23,Year of the Rabbit 2023,5,foil,rare,1,79073,d4cc231e-7b86-4b64-a1d6-75aea64b85a0,,false,false,near_mint,en,USD,2023-09-28T20:14:17.414Z
Store Championship Promos,binder,Rabbit Battery,PL23,Year of the Rabbit 2023,1,foil,rare,1,79079,077ab42e-2112-4ed6-8883-0039a34a3cec,6.99,false,false,near_mint,en,USD,2023-09-28T20:14:17.414Z
Store Championship Promos,binder,Saruman of Many Colors,LTR,The Lord of the Rings: Tales of Middle-earth,300,foil,mythic,1,83255,853e4841-7e2f-4f0c-8f4f-cbfac22c298c,,false,false,near_mint,en,USD,2023-09-28T20:56:49.586Z
Store Championship Promos,binder,Swiftfoot Boots,PL23,Year of the Rabbit 2023,4,foil,rare,2,79074,e7ad7dbd-fff5-4af9-a823-f9a09fa3dfd4,,false,false,near_mint,en,USD,2023-10-09T14:40:10.772Z
Store Championship Promos,binder,"Yuriko, the Tiger's Shadow",PL22,Year of the Tiger 2022,4,foil,mythic,1,67578,b08bd0ff-663d-4a1c-bf48-0042720c2485,42.99,false,false,near_mint,en,USD,2023-10-12T19:33:04.210Z
Store Championship Promos,binder,Arcbound Ravager,PL23,Year of the Rabbit 2023,6,foil,rare,1,79072,73e50280-5202-43a8-9b80-14feaf0ea9fe,,false,false,near_mint,en,USD,2024-12-27T10:45:24.018Z
Asset Binder,binder,Tolarian Academy,USG,Urza's Saga,330,normal,rare,1,35638,ad7ac9a5-340f-4509-826c-7b9416d47887,84.99,false,false,good,en,USD,2023-10-02T08:43:42.438Z
Asset Binder,binder,Lord of Atlantis,P30H,30th Anniversary History Promos,2★,foil,rare,1,82436,7f5f2b62-292a-4794-abcc-d83d6b5800a1,,false,false,near_mint,en,USD,2023-10-05T15:38:54.705Z
Asset Binder,binder,Unfulfilled Desires,MIR,Mirage,285,normal,rare,1,38305,3389d6c7-2a8a-48d6-a09d-aa195d830576,2.29,false,false,near_mint,en,USD,2023-10-17T11:44:11.080Z
Asset Binder,binder,Skeleton Ship,ICE,Ice Age,301,normal,rare,1,39508,271c8a7c-0f71-4f9d-ab0e-ca7c8c4aca50,1.99,false,false,near_mint,en,USD,2023-11-01T07:00:34.377Z
Asset Binder,binder,Stone-Tongue Basilisk,PODY,Odyssey Promos,276,foil,rare,1,64051,8ec4eeb5-2f82-460c-8140-20587442d40b,8.49,false,false,near_mint,en,USD,2024-12-04T02:36:51.083Z
Warhammer 40K Binder,binder,Old One Eye,40K,"Warhammer 40,000 Commander",96,normal,rare,1,72491,b5aaaee0-9a61-45df-821e-cce516f8de6a,1.79,false,false,near_mint,en,USD,2023-10-01T11:29:07.230Z
Warhammer 40K Binder,binder,Trygon Prime,40K,"Warhammer 40,000 Commander",143,normal,uncommon,1,72574,f6a419b2-6586-4abf-9751-eabe568066ab,0.35,false,false,near_mint,en,USD,2023-10-01T11:29:07.230Z
Warhammer 40K Binder,binder,Venomthrope,40K,"Warhammer 40,000 Commander",147,normal,uncommon,1,72548,e2284a8a-caf3-4eef-8cd2-6b2f507e7154,0.99,false,false,near_mint,en,USD,2023-10-01T11:29:07.230Z
Warhammer 40K Binder,binder,Icon of Ancestry,40K,"Warhammer 40,000 Commander",242,normal,rare,1,72389,612250ac-16fc-4d65-be38-25256f9cc164,1.29,false,false,near_mint,en,USD,2023-10-01T13:08:16.648Z
Warhammer 40K Binder,binder,Gargoyle Flock,40K,"Warhammer 40,000 Commander",123,normal,rare,1,72277,0b8c7302-a5ae-484e-8ba5-397ffeb3b19c,0.49,false,false,near_mint,en,USD,2023-10-01T13:08:16.648Z
Warhammer 40K Binder,binder,Acolyte Hybrid,40K,"Warhammer 40,000 Commander",70,normal,uncommon,1,72488,b229697e-b6ff-450b-8020-45c454da9b3e,0.35,false,false,near_mint,en,USD,2023-10-01T13:08:16.648Z
Warhammer 40K Binder,binder,Genestealer Locus,40K,"Warhammer 40,000 Commander",21,normal,uncommon,1,72363,4cdc3172-6df0-48a8-85d6-c4b727202f83,0.35,false,false,near_mint,en,USD,2023-10-01T13:08:16.648Z
Warhammer 40K Binder,binder,Genestealer Patriarch,40K,"Warhammer 40,000 Commander",22,normal,rare,1,72473,a0df01d1-6131-4ef7-abea-ba084f3b0954,0.49,false,false,near_mint,en,USD,2023-10-01T13:08:16.648Z
Warhammer 40K Binder,binder,"Deathleaper, Terror Weapon",40K,"Warhammer 40,000 Commander",115,normal,rare,1,72460,9819d50f-aae8-4e92-8dab-01eebace3c1e,0.49,false,false,near_mint,en,USD,2023-10-01T13:08:16.648Z
Warhammer 40K Binder,binder,Hormagaunt Horde,40K,"Warhammer 40,000 Commander",93,normal,rare,1,72408,6a623ab2-4cdf-4e2e-a14d-6a709cf34cf1,0.49,false,false,near_mint,en,USD,2023-10-01T13:08:16.648Z
Warhammer 40K Binder,binder,Lictor,40K,"Warhammer 40,000 Commander",94,normal,rare,1,72334,3c4d8f36-461f-48a6-a4e4-9ddfb388de19,0.49,false,false,near_mint,en,USD,2023-10-01T13:08:16.648Z
Warhammer 40K Binder,binder,Haruspex,40K,"Warhammer 40,000 Commander",91,normal,rare,1,72429,76e93d5d-c255-45a6-9217-84ac270740a7,0.49,false,false,near_mint,en,USD,2023-10-01T13:08:16.648Z
Warhammer 40K Binder,binder,Screamer-Killer,40K,"Warhammer 40,000 Commander",84,normal,rare,1,72271,078b560f-9b86-401a-afff-21ddb1ebed61,0.49,false,false,near_mint,en,USD,2023-10-01T13:10:49.908Z
Warhammer 40K Binder,binder,Tyranid Invasion,40K,"Warhammer 40,000 Commander",102,normal,uncommon,1,72417,7082df45-6c2f-4a92-8c73-a582e9ea1948,0.35,false,false,near_mint,en,USD,2023-10-01T13:10:49.908Z
Warhammer 40K Binder,binder,Explore,40K,"Warhammer 40,000 Commander",213,normal,common,1,72494,b6838782-079a-47d0-bdab-cdcc975feab4,0.59,false,false,near_mint,en,USD,2023-10-01T13:10:49.908Z
